# 東京都 一般会計 当初予算（フォールバック seed）
# fiscalYear: 2025 (令和7年度) / type: 予算 / unit: 百万円
# source: 東京都「令和7年度当初予算」一般会計
# 注意: 本ファイルの数値は概算の seed 値であり、公表値で要検証。
#       歳入合計 = 歳出合計 になるよう其他で調整している。
# columns: side,id,name,value
side,id,name,value
income,tokyo_inc_tochizei,都税,6200000
income,tokyo_inc_kokko,国庫支出金,1140000
income,tokyo_inc_tosai,都債,460000
income,tokyo_inc_other,その他収入,651000
expense,tokyo_exp_fukushi,福祉保健費,2847000
expense,tokyo_exp_kyoiku,教育費,1622000
expense,tokyo_exp_doboku,土木費,1153000
expense,tokyo_exp_keisatsu,警察費,641000
expense,tokyo_exp_shobo,消防費,290000
expense,tokyo_exp_kankyo,環境費,331000
expense,tokyo_exp_sangyo,産業労働費,399000
expense,tokyo_exp_somu,総務費,649000
expense,tokyo_exp_kosai,公債費,279000
expense,tokyo_exp_other,その他,240000
